subject_name,course_name,absolute_course_url
Mathematics Courses,Statistics: Unlocking the World of Data,https://www.classcentral.com/course/edx-statistics-unlocking-the-world-of-data-7508
Mathematics Courses,Discovery Precalculus: A Creative and Connected Approach,https://www.classcentral.com/course/edx-discovery-precalculus-a-creative-and-connected-approach-2537
Mathematics Courses,Métodos numéricos para matemáticas con Octave,https://www.classcentral.com/course/edx-metodos-numericos-para-matematicas-con-octave-13855
Mathematics Courses,Pre-University Calculus,https://www.classcentral.com/course/edx-pre-university-calculus-2534
Mathematics Courses,Probability and Statistics I:  A Gentle Introduction to Probability,https://www.classcentral.com/course/edx-probability-and-statistics-i-a-gentle-introduction-to-probability-20610
Mathematics Courses,Linear Algebra I: Linear Equations,https://www.classcentral.com/course/edx-linear-algebra-i-linear-equations-20958
Mathematics Courses,Probability and Statistics III:  A Gentle Introduction to Statistics,https://www.classcentral.com/course/edx-probability-and-statistics-iii-a-gentle-introduction-to-statistics-20609
Mathematics Courses,Linear Algebra II: Matrix Algebra,https://www.classcentral.com/course/edx-linear-algebra-ii-matrix-algebra-20932
Mathematics Courses,Probability and Statistics II:  Random Variables – Great Expectations to Bell Curves,https://www.classcentral.com/course/edx-probability-and-statistics-ii-random-variables-great-expectations-to-bell-curves-20608
Mathematics Courses,Probability and Statistics IV:  Confidence Intervals and Hypothesis Tests,https://www.classcentral.com/course/edx-probability-and-statistics-iv-confidence-intervals-and-hypothesis-tests-20607
Mathematics Courses,Linear Algebra III: Determinants and Eigenvalues,https://www.classcentral.com/course/edx-linear-algebra-iii-determinants-and-eigenvalues-20933
Mathematics Courses,Combinatorics and Probability,https://www.classcentral.com/course/combinatorics-2464
Mathematics Courses,Introduction to Enumerative Combinatorics,https://www.classcentral.com/course/enumerative-combinatorics-7774
Mathematics Courses,Mathematical Thinking in Computer Science,https://www.classcentral.com/course/what-is-a-proof-9212
Mathematics Courses,Introduction to Complex Analysis,https://www.classcentral.com/course/complex-analysis-6418
Mathematics Courses,Policy Analysis Using Interrupted Time Series,https://www.classcentral.com/course/edx-policy-analysis-using-interrupted-time-series-3345
Mathematics Courses,Abstract Algebra,https://www.classcentral.com/course/youtube-abstract-algebra-45670/classroom
Mathematics Courses,Algèbre Linéaire (Partie 1),https://www.classcentral.com/course/edx-algebre-lineaire-partie-1-3852
